[GIN] 2026/03/14 - 02:42:18 | 200 |      2.5088ms |       127.0.0.1 | GET      "/ws/025715?player_id=510"
[GIN] 2026/03/14 - 02:42:21 | 200 |         673µs |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/14 - 02:42:21 | 200 |      3.0624ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:42:22 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/14 - 02:42:22 | 200 |      8.3495ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/14 - 02:42:22 | 200 |      3.2611ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:42:22 | 200 |      6.0808ms |       127.0.0.1 | GET      "/rooms/025715"
[GIN] 2026/03/14 - 02:42:22 | 200 |       5.434ms |       127.0.0.1 | GET      "/rooms/025715"
[GIN] 2026/03/14 - 02:42:22 | 200 |      8.9035ms |       127.0.0.1 | GET      "/ws/025715?player_id=511"
[GIN] 2026/03/14 - 02:42:22 | 200 |      9.5401ms |       127.0.0.1 | GET      "/rooms/025715"
[GIN] 2026/03/14 - 02:42:23 | 200 |     11.4138ms |       127.0.0.1 | POST     "/rooms/025715/start?player_id=510"
[GIN] 2026/03/14 - 02:42:23 | 200 |      5.3762ms |       127.0.0.1 | GET      "/rooms/025715"
[GIN] 2026/03/14 - 02:42:23 | 200 |     11.8499ms |       127.0.0.1 | GET      "/ws/025715?player_id=510"
[GIN] 2026/03/14 - 02:42:23 | 200 |      1.0672ms |       127.0.0.1 | GET      "/rooms/025715"
[GIN] 2026/03/14 - 02:42:23 | 200 |      3.2465ms |       127.0.0.1 | GET      "/ws/025715?player_id=511"
[GIN] 2026/03/14 - 02:42:24 | 200 |     21.6477ms |       127.0.0.1 | POST     "/rooms/025715/round/start?player_id=510"
